licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
EVERY PERSON,General User Licence,Unspecified,MF (300 kHz-3 MHz),35,0.3725,2.9375
KIWI CARE ELECTRONICS LIMITED,Paging,Unspecified,VHF (30-300 MHz),35,160.5625,160.5625
MANAWATU-WANGANUI REGIONAL COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),35,154.0813,169.8875
MANAWATU-WANGANUI REGIONAL COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),35,151.05,165.2875
4HF FACILITIES LIMITED,Land Mobile,Simplex,HF (3-30 MHz),34,3.0244,10.9814
ALPINE ENERGY LTD,Fixed Link,Bi-directional,SHF (3-30 GHz),34,7747.7,13087.0
AURORA ENERGY LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),34,6093.45,22820.0
FLETCHER CONCRETE AND INFRASTRUCTURE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),34,449.9563,483.6313
GENESIS ENERGY LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),34,7881.125,22652.0
JOHNSTON DICK & ASSOCIATES LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),34,8307.0,19590.0
MAINPOWER NEW ZEALAND LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),34,441.3875,459.9625
NETWORK WAITAKI LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),34,453.675,466.3625
SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),34,153.8938,169.8625
SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),34,151.15,165.2625
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Radiodetermination,Beacon,VHF (30-300 MHz),33,109.5,117.5
NZ DEFENCE FORCE HEADQUARTERS,Maritime,Unspecified,MF (300 kHz-3 MHz),33,0.518,2.801
OJI FIBRE SOLUTIONS (NZ) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),33,449.9313,489.0063
V F GOMBERT,Land Mobile,Simplex,VHF (30-300 MHz),33,166.0125,166.0125
