licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
VITAL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),33,413.8125,868.7625
CITY COMMS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),32,449.9438,488.9938
Fire and Emergency New Zealand,Land Mobile,Simplex,UHF (300 MHz-3 GHz),32,455.1313,498.1813
GLEESON & COX TRANSPORT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),32,449.9313,466.6813
INDEPENDENT STEVEDORING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),32,449.9313,488.825
INMARSAT NEW ZEALAND LIMITED,Satellite & Space,Unspecified,EHF (>30 GHz),32,30025.0,30975.0
ORION NEW ZEALAND LTD,Fixed Link,Bi-directional,SHF (3-30 GHz),32,6460.0,15271.0
SOUND AND RADIO COMMUNICATION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),32,449.9438,466.9063
Unifone New Zealand Limited,Spectrum Licence,Unspecified,SHF (3-30 GHz),32,3310.0,3330.0
WALKER WIRELESS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),32,150.075,172.975
BRIAN PERRY CIVIL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),31,449.9563,489.0188
THE LINES CO LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),31,421.4875,856.75
GLOBE WIRELESS (NEW ZEALAND) LTD,Maritime,Unspecified,HF (3-30 MHz),30,4.1474,22.8024
MAORI TELEVISION SERVICE,Broadcasting,Unspecified,UHF (300 MHz-3 GHz),30,610.0,618.0
MARITIME NEW ZEALAND,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),30,420.1625,459.3188
MCCONNELL DOWELL CONSTRUCTORS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),30,150.9375,172.975
MERIDIAN ENERGY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),30,413.9125,488.9313
PORT NELSON LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),30,449.7563,466.7063
RADIO NEW ZEALAND LIMITED,Broadcasting,Unspecified,MF (300 kHz-3 MHz),30,0.567,1.494
ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,Unspecified,VHF (30-300 MHz),30,156.025,161.6
SKY NETWORK TELEVISION LIMITED,Broadcasting,Unspecified,UHF (300 MHz-3 GHz),30,562.0,570.0
Shane WILSON,Land Mobile,Simplex,VHF (30-300 MHz),30,150.075,171.175
TELEVISION NEW ZEALAND LIMITED,Broadcasting,Unspecified,UHF (300 MHz-3 GHz),30,530.0,586.0
TOP ENERGY,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),30,421.5125,465.9625
"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",Broadcasting,Unspecified,UHF (300 MHz-3 GHz),30,546.0,554.0
AIR NEW ZEALAND LIMITED,Aeronautical,Base Station,VHF (30-300 MHz),29,121.7,133.85
CITY COMMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),29,150.3625,172.975
COLVINS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),29,150.7375,172.975
SIGNALS NZ 2025 LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),29,455.3438,478.0688
AURORA ENERGY LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),28,443.025,1520.0
ELECTRA LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),28,10755.0,19480.0
GULFBAY ENTERPRISE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),28,449.9938,489.9688
IGNITION NETWORKS LIMITED,Land Mobile,Simplex,HF (3-30 MHz),28,3.1964,9.3014
INSPIRE NET LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),28,167.275,169.5625
INSPIRE NET LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),28,162.675,164.9625
TELETRONICS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),28,150.65,172.975
UBER GROUP LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),28,10715.0,19590.0
CHANNEL INFRASTRUCTURE NZ LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),27,453.5188,464.9813
COMMUNICATE LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),27,151.025,153.0625
GLOBAL COMMUNICATION SYSTEMS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),27,449.9438,466.9813
INDEVIN LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),27,476.1313,489.9813
MOUNT CAMPBELL COMMUNICATIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),27,165.75,172.775
MOUTERE LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),27,150.4625,173.8063
NEW ZEALAND INSTITUTE FOR PUBLIC HEALTH AND FORENSIC SCIENCE LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),27,6375.23,6378.315
PASSAGE GUARDIAN CHARITABLE TRUST,Maritime,Unspecified,HF (3-30 MHz),27,4.1264,25.1074
Parkland Products Limited,Land Mobile,Repeater,UHF (300 MHz-3 GHz),27,456.8188,464.675
THE FLETCHER CONSTRUCTION COMPANY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),27,477.6188,489.9688
VECTOR LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),27,153.6188,169.6875
VECTOR LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),27,151.3125,165.0875
ALCOM COMMUNICATION SERVICES LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),26,151.025,165.05
ALCOM COMMUNICATION SERVICES LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),26,153.6563,169.65
CHATR COMMUNICATIONS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),26,151.0375,165.2375
CHATR COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),26,154.6938,169.8375
INSPIRE NET LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),26,3310.0,3330.0
MARLBOROUGH LINES LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),26,6093.45,19177.5
NEW ZEALAND OIL SERVICES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),26,455.0688,455.3063
NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,Simplex,HF (3-30 MHz),26,3.2204,29.7784
NZME RADIO LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),26,404.0375,932.75
TIER III LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),26,410.1375,411.575
TIER III LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),26,418.1375,419.575
TOP ENERGY,Land Mobile,Mobile Transmit,VHF (30-300 MHz),26,153.6688,169.9125
TOP ENERGY,Land Mobile,Repeater,VHF (30-300 MHz),26,151.0125,165.3125
Z ENERGY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),26,453.3188,483.7313
ZELAN LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),26,7236.5,11605.0
ASHLEY COMMUNICATIONS LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),25,420.9375,465.3625
BALLANCE AGRI-NUTRIENTS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),25,453.5938,489.7438
COGENT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),25,150.225,172.975
Downer New Zealand Limited,Fixed Link,Bi-directional,VHF (30-300 MHz),25,158.625,158.625
EASTPACK LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),25,464.8563,488.5313
ENTAIN NEW ZEALAND LIMITED,Outside Broadcast,Unspecified,UHF (300 MHz-3 GHz),25,2710.0,2890.0
GPS CONTROL SYSTEMS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),25,164.425,165.15
KIWIRAIL LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),25,450.2625,489.9938
PALMSIDE NZ 2023 LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),25,449.9438,489.9563
SIGNALS NZ 2025 LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),25,450.3063,472.0813
ACCELERATE WIRELESS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),24,10715.0,19590.0
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Aeronautical,Base Station,HF (3-30 MHz),24,3.0174,21.9504
AUCKLAND INTERNATIONAL AIRPORT LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),24,452.4063,818.9938
AUCKLAND INTERNATIONAL AIRPORT LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),24,457.4438,863.9938
COMMUNICATE LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),24,153.9313,155.9938
DEPARTMENT OF CONSERVATION,Land Mobile,Simplex,MF (300 kHz-3 MHz),24,2.1964,2.4754
FOREST MANAGEMENT (NZ) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),24,150.2375,166.775
FULL FLAVOUR LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),24,7762.525,19590.0
HAMILTON CITY COUNCIL,Fixed Link,Bi-directional,SHF (3-30 GHz),24,21294.0,23310.0
MEDIAWORKS RADIO LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),24,7201.5,22834.0
OCEANA GOLD (NEW ZEALAND) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),24,453.3063,489.775
OMV NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),24,453.3063,466.9938
TRANSPOWER NEW ZEALAND LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),24,6540.0,11665.0
WINEWORKS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),24,470.8313,489.8188
DUNEDIN CITY COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),23,420.0875,450.2375
JOHNSTON DICK & ASSOCIATES LIMITED,Broadcasting,Unspecified,UHF (300 MHz-3 GHz),23,522.0,602.0
MANAWA ENERGY GENERATION LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),23,420.0813,1523.625
METEOROLOGICAL SERVICE OF NEW ZEALAND LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),23,443.075,449.4938
MOBICOMM LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),23,450.5938,469.9938
ONEFORTYONE NEW ZEALAND LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),23,150.2125,172.8
TOP ENERGY,Land Mobile,Simplex,UHF (300 MHz-3 GHz),23,449.9313,455.3063
VORTEX VENTURES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),23,453.3438,466.8813
CONTAINERCO (NZL) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),22,449.9563,483.9438
COUNTIES ENERGY LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),22,10511.0,11605.0
Christchurch City Council,Land Mobile,Simplex,VHF (30-300 MHz),22,165.9625,166.7375
FULTON HOGAN LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),22,84.2375,171.325
HAMILTON CITY COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),22,455.3438,481.6063
HAMILTON CITY COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),22,450.3063,475.6188
LANDCORP FARMING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),22,150.075,172.55
OBERTECH GROUP LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),22,453.4563,868.3875
POWERNET LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),22,421.9125,459.5125
TELETRONICS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),22,153.9063,169.9125
TELETRONICS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),22,152.125,165.3125
THEPACIFIC.NET LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),22,2590.0,2610.0
TIAKI PLANTATIONS COMPANY,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),22,421.6375,466.1125
TIAKI PLANTATIONS COMPANY,Land Mobile,Mobile Transmit,VHF (30-300 MHz),22,153.8938,158.075
TIAKI PLANTATIONS COMPANY,Land Mobile,Repeater,VHF (30-300 MHz),22,151.4,160.975
TITAN CRANES LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),22,466.8938,489.3813
VESTAS-NEW ZEALAND WIND TECHNOLOGY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),22,449.9438,466.9938
AIRTEL LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),21,151.2375,164.55
AIRTEL LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),21,153.8563,169.15
Downer New Zealand Limited,Land Mobile,Simplex,VHF (30-300 MHz),21,150.0625,166.75
ENTAIN NEW ZEALAND LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),21,413.8875,934.9375
HEB CONSTRUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),21,449.9563,482.1563
MAINPOWER NEW ZEALAND LTD,Land Mobile,Repeater,VHF (30-300 MHz),21,163.4125,165.2875
MAINPOWER NEW ZEALAND LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),21,168.0125,169.8875
MERIDIAN ENERGY LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),21,453.65,1519.0
NAPIER CITY COUNCIL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),21,461.5438,489.5438
OMV NEW ZEALAND LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),21,418.1625,464.2188
OMV NEW ZEALAND LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),21,410.1625,469.4063
RHEMA MEDIA INCORPORATED,Broadcasting,Unspecified,MF (300 kHz-3 MHz),21,0.54,1.404
SIGNALS NZ 2025 LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),21,154.0438,169.8625
SIGNALS NZ 2025 LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),21,151.2125,165.2625
THE HELICOPTER LINE LTD,Aeronautical,Base Station,VHF (30-300 MHz),21,118.1,131.8
WELLINGTON CITY COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),21,148.2375,166.475
BAY VENUES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),20,453.3188,488.2813
ELECTRICITY ASHBURTON LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),20,152.8125,165.275
ELECTRICITY ASHBURTON LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),20,154.5938,169.875
EMBASSY OF THE UNITED STATES OF AMERICA,Land Mobile,Simplex,HF (3-30 MHz),20,5.75,24.885
EVERY PERSON,General User Licence,Unspecified,EHF (>30 GHz),20,34700.0,637500.0
INFLATABLE WORLD AUSTRALIA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),20,458.3813,466.9938
INTERNATIONAL MOTORSPORT TEAM MANAGEMENT NEW ZEALAND  LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),20,476.1188,489.9813
"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,Repeater,VHF (30-300 MHz),20,151.0875,153.3
"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,Mobile Transmit,VHF (30-300 MHz),20,153.6063,155.7938
LRAE COMMS GROUP LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),20,10715.0,11645.0
MARLBOROUGH LINES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),20,470.7563,482.8313
OCEANA GOLD (NEW ZEALAND) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),20,150.5625,172.9875
OUTBACK COMMUNICATIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),20,153.6563,169.9
OUTBACK COMMUNICATIONS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),20,151.325,165.3
ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),20,420.1625,459.5125
"STARLINK NEW ZEALAND, UNLIMITED LIABILITY COMPANY",Satellite & Space,Unspecified,EHF (>30 GHz),20,81625.0,85375.0
SURF LIFE SAVING NEW ZEALAND INCORPORATED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),20,420.2625,446.6438
St John,Land Mobile,Simplex,UHF (300 MHz-3 GHz),20,477.4313,498.4938
TAYLORS CONTRACTING COMPANY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),20,165.725,172.975
TODD ENERGY LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),20,449.5063,459.3375
UNISON NETWORKS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),20,150.175,153.5813
YRLESS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),20,10715.0,11585.0
ALCOM COMMUNICATION SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),19,150.0875,170.75
BULLER ELECTRICITY LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),19,420.5375,459.5375
COUNTIES ENERGY LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),19,451.2938,493.5938
COUNTIES ENERGY LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),19,456.3313,487.5813
ERNSLAW ONE LTD,Land Mobile,Repeater,VHF (30-300 MHz),19,151.0625,162.925
ERNSLAW ONE LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),19,154.0563,167.525
FONTERRA CO-OPERATIVE GROUP LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),19,450.5813,474.1188
FONTERRA CO-OPERATIVE GROUP LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),19,455.6188,480.1063
INETWORKS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),19,163.1875,165.25
INETWORKS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),19,167.7875,169.85
KIWIRAIL LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),19,451.3188,475.7938
MERCURY NZ LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),19,461.9063,464.8063
MOBILE SYSTEMS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),19,461.4813,489.9813
MOUNT CAMPBELL COMMUNICATIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),19,458.3813,488.9813
ORION NEW ZEALAND LTD,Land Mobile,Repeater,VHF (30-300 MHz),19,151.1,152.975
RYMAN HEALTHCARE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),19,470.8063,489.0813
T L PARKER LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),19,150.5625,172.8625
TELEVISION NEW ZEALAND LIMITED,Outside Broadcast,Unspecified,UHF (300 MHz-3 GHz),19,2710.0,2890.0
VECTOR LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),19,422.4875,459.3563
4HF FACILITIES LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),18,81.3,164.65
A D BROWN,Land Mobile,Simplex,HF (3-30 MHz),18,3.0244,6.7834
AIR NEW ZEALAND LTD,Aeronautical,Base Station,VHF (30-300 MHz),18,119.1,133.1
ASHLEY COMMUNICATIONS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),18,7452.5,13157.0
CHATR COMMUNICATIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),18,150.0625,170.3875
CHRISTIAN LIFE CENTRE AUCKLAND,Land Mobile,Simplex,UHF (300 MHz-3 GHz),18,476.1188,489.9188
DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),18,455.8313,480.3188
DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),18,450.7938,474.3313
ENTERNET ONLINE LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),18,10815.0,11645.0
FILM RADIOS.COM LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),18,150.0875,171.75
GHELLA ABERGELDIE JV,Land Mobile,Simplex,UHF (300 MHz-3 GHz),18,453.5438,483.6438
HAWKINS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),18,449.7813,488.9063
HIGGINS CONTRACTORS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),18,449.9563,465.0063
IXOM OPERATIONS PTY LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),18,483.6688,489.0063
JV ELECTRONICS LTD,Land Mobile,Repeater,VHF (30-300 MHz),18,151.0125,164.95
JV ELECTRONICS LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),18,153.6063,169.55
KIWIRAIL,Land Mobile,Simplex,VHF (30-300 MHz),18,150.325,166.5875
MAINPOWER NEW ZEALAND LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),18,450.5563,469.9875
MAN O'WAR VINEYARDS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),18,150.1375,153.5813
MARLBOROUGH LINES LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),18,472.1375,493.6813
MARLBOROUGH LINES LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),18,478.125,487.6688
NORTHPOWER LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),18,162.6375,164.95
NORTHPOWER LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),18,167.2375,169.55
NZART CHRISTCHURCH BRANCH 05 INC,Land Mobile,Simplex,HF (3-30 MHz),18,3.2624,3.3464
PAN PAC FOREST PRODUCTS LTD,Land Mobile,Simplex,VHF (30-300 MHz),18,150.8625,172.975
ROTORUA DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),18,420.1875,445.1938
SNOW SPORTS NEW ZEALAND (INC).,Land Mobile,Simplex,UHF (300 MHz-3 GHz),18,461.7688,464.8563
TAUMATA PLANTATIONS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),18,154.0188,155.8813
TAUMATA PLANTATIONS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),18,151.0125,152.775
TELETRONICS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),18,418.1875,456.0813
TELETRONICS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),18,410.1875,451.0438
TITAN CRANES LTD,Land Mobile,Simplex,VHF (30-300 MHz),18,150.575,171.325
TOP ENERGY,Fixed Link,Bi-directional,SHF (3-30 GHz),18,7452.5,19535.0
UNISON NETWORKS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),18,151.075,153.0
UNISON NETWORKS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),18,153.6813,155.8563
VECTOR LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),18,7547.0,19480.0
WAIMAKARIRI DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),18,421.0375,427.125
DEPARTMENT OF CONSERVATION,Land Mobile,Simplex,VHF (30-300 MHz),17,140.55,161.23
DUNEDIN CITY COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),17,455.975,464.65
DUNEDIN CITY COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),17,450.9375,469.8375
GATEWAY TELEPORT LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),17,3820.0,14480.0
GENESIS ENERGY LIMITED,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),17,471.2,471.275
MAINPOWER NEW ZEALAND LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),17,455.5938,464.8
MINISTRY OF JUSTICE - COURT SECURITY,Land Mobile,Simplex,UHF (300 MHz-3 GHz),17,455.2188,489.9063
NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),17,470.7563,483.3563
New Zealand Transport Agency,Land Mobile,Simplex,UHF (300 MHz-3 GHz),17,453.3063,482.0313
PORT OF AUCKLAND LIMITED,Maritime,Unspecified,VHF (30-300 MHz),17,156.3,162.025
POVERTY BAY & EAST COAST RTUA,Land Mobile,Repeater,VHF (30-300 MHz),17,82.325,163.8
POVERTY BAY & EAST COAST RTUA,Land Mobile,Mobile Transmit,VHF (30-300 MHz),17,86.2938,168.4
SITA B.V.,Aeronautical,Base Station,VHF (30-300 MHz),17,131.55,136.975
SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),17,453.3063,466.9688
TALLEY'S LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),17,458.3438,488.5813
THE LINES CO LTD,Land Mobile,Repeater,VHF (30-300 MHz),17,151.1,165.2625
TRAFFIC MANAGEMENT NZ LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),17,449.9313,483.4438
WHANGAREI DISTRICT COUNCIL,Land Mobile,Simplex,HF (3-30 MHz),17,3.3284,7.8494
ACCELERATE WIRELESS LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),16,3310.0,3330.0
AURORA ENERGY LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),16,167.2875,169.6625
AURORA ENERGY LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),16,162.6875,165.0625
AUT University,Land Mobile,Simplex,UHF (300 MHz-3 GHz),16,461.5563,489.8563
BALLANCE AGRI-NUTRIENTS (KAPUNI) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),16,453.3563,455.2813
CHATR COMMUNICATIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),16,453.3313,461.5688
COCA-COLA EUROPACIFIC PARTNERS NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),16,466.9938,489.8188
COLVINS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),16,7184.0,19260.0
CONTACT ENERGY LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),16,453.8,466.0125
D G GLENN LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),16,150.15,171.05
DRUMMOND & ETHERIDGE LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),16,461.9313,464.4938
GENESIS ENERGY LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),16,420.9125,1522.525
GILL CONSTRUCTION CO LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),16,166.35,172.8625
GOODMAN CONTRACTORS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),16,150.725,172.85
INDEPENDENT TRAFFIC CONTROL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),16,476.2938,483.6688
LANDCORP FARMING LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),16,155.6938,169.875
LANDCORP FARMING LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),16,151.5125,165.275
MILLS CHAPMAN COMMUNICATIONS LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),16,418.75,463.8063
MILLS CHAPMAN COMMUNICATIONS LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),16,410.75,468.9938
NELSPECS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),16,418.2,464.7438
