licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
434046,426381,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM413",104.6,"KOPUKAIRUA","Current","TX",false
434045,426349,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM427",105.3,"MT MURCHISON","Current","TX",false
434044,426342,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM263",97.1,"CEMENT LEAD ROAD RESERVOIR","Current","TX",false
434043,426344,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM201",94.0,"MAUNGATANIWHA","Current","TX",false
434042,426409,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM093",88.6,"MT CARGILL","Current","TX",false
434041,426362,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM435",105.7,"WITHER HILLS RADIOWORKS (COBB RIDGE)","Current","TX",false
434040,426369,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM439",105.9,"MT FREETH","Current","TX",false
434039,426408,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM239",95.9,"POPOITI","Current","TX",false
434038,426355,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM151",91.5,"MT FREETH","Current","TX",false
434037,426361,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM333",100.6,"KOPUKAIRUA","Current","TX",false
434036,426377,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM327",100.3,"PAUANUI SOUTH","Current","TX",false
434035,426357,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM401",104.0,"PORT FITZROY","Current","TX",false
434034,426378,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM413",104.6,"WAIPUNA","Current","TX",false
434033,426338,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM407",104.3,"CAVE HILL JDA","Current","TX",false
434032,426363,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM143",91.1,"HIKURANGI TERRACE TAUMARUNUI","Current","TX",false
434031,426347,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM237",95.8,"TAKAKA","Current","TX",false
434030,426380,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM239",95.9,"REEFTON","Current","TX",false
434029,426382,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM125",90.2,"WAIPUNA","Current","TX",false
434028,426389,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM413",104.6,"MT MICHAEL","Current","TX",false
434027,426367,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM407",104.3,"NORTH ROUGH RIDGE","Current","TX",false
